strategy,entry_time,r_multiple,prior_open_count,prior_jpy_open,prior_long_open,prior_short_open,prior_amr_open,prior_arb_open,prior_max_ccy_concentration,prior_n_factors,own_is_jpy,own_dir,own_mechanism,own_vol_pctile_atr
AUDJPY_AMR,2025-12-24 02:45:00+00:00,0.5567271193589248,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.3681535104061319
EURJPY_AMR,2025-12-24 02:45:00+00:00,-1.07660455486545,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.6184184317110417
GBPJPY_AMR,2025-12-24 03:15:00+00:00,-1.0562414266117364,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.7117187707508832
GBPJPY_AMR,2025-12-26 00:00:00+00:00,0.747784045124908,1,1,1,0,1,0,1.0,2,True,SELL,AMR,0.5399479401843342
AUDJPY_AMR,2025-12-26 00:00:00+00:00,0.5439653840210213,1,1,0,1,1,0,1.0,2,True,BUY,AMR,0.1329642838132751
EURJPY_AMR,2025-12-26 01:45:00+00:00,-0.6998970739597307,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.6269703206958369
CADJPY_AMR,2025-12-26 01:45:00+00:00,-1.0661497455778255,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.4732823413805009
GBPJPY_AMR,2025-12-29 00:00:00+00:00,0.7049529018534554,3,2,3,0,2,0,0.667,5,True,BUY,AMR,0.3218412175622194
GBPUSD_MONDAY,2025-12-29 00:00:00+00:00,-0.0797872340425536,3,3,3,0,3,0,1.0,4,False,BUY,MONDAY,0.4662612684696218
EURJPY_AMR,2025-12-29 00:00:00+00:00,0.5375286791214814,3,2,3,0,2,0,0.667,4,True,BUY,AMR,0.3079742380983998
AUDJPY_AMR,2025-12-29 00:00:00+00:00,0.6156585893277314,3,2,3,0,2,0,0.667,4,True,BUY,AMR,0.1908766700377921
CADJPY_AMR,2025-12-29 00:30:00+00:00,0.5046805046805644,2,1,2,0,1,0,0.5,4,True,BUY,AMR,0.3248612328366929
AUDJPY_AMR,2025-12-30 00:15:00+00:00,0.5712245626561272,0,0,0,0,0,0,0.0,0,True,BUY,AMR,0.1978761909831266
EURJPY_AMR,2025-12-30 01:15:00+00:00,0.5533938607869141,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.6036518159484762
GBPJPY_AMR,2025-12-30 01:15:00+00:00,0.6743295019157934,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.3182953066482509
CADJPY_AMR,2025-12-30 02:45:00+00:00,0.5808580858085316,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.5706982179374818
CADJPY_AMR,2025-12-31 00:00:00+00:00,0.5642394205107819,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.3203197620375534
GBPJPY_AMR,2025-12-31 00:00:00+00:00,0.7025089605735335,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.2426093654545937
EURJPY_AMR,2025-12-31 00:00:00+00:00,0.5976300875837451,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.2987185445853529
AUDJPY_AMR,2025-12-31 00:00:00+00:00,0.5651412853213672,3,3,3,0,3,0,1.0,4,True,BUY,AMR,0.2115425560227817
EURJPY_AMR,2026-01-02 01:00:00+00:00,0.5821474773608701,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.2954651085585286
AUDJPY_AMR,2026-01-02 03:30:00+00:00,-1.0624904038078284,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.3196093043061692
CADJPY_ARB,2026-01-02 07:00:00+00:00,-1.0638977635782665,1,1,0,1,1,0,1.0,2,True,BUY,ARB,0.162765900730394
GBPUSD_MONDAY,2026-01-05 00:00:00+00:00,0.7867409394126962,2,2,2,0,2,0,1.0,3,False,BUY,MONDAY,0.4853043153571238
GBPJPY_AMR,2026-01-05 00:00:00+00:00,0.722479863314644,2,1,2,0,1,0,0.5,4,True,BUY,AMR,0.3207389306488884
CADJPY_AMR,2026-01-05 00:00:00+00:00,0.555321834244738,2,1,2,0,1,0,1.0,3,True,BUY,AMR,0.4273763046769182
EURJPY_AMR,2026-01-05 00:45:00+00:00,0.6011598464428795,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.2830887723258747
AUDJPY_AMR,2026-01-05 00:45:00+00:00,0.6039380496536593,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.7842657156544419
AUDJPY_AMR,2026-01-06 00:45:00+00:00,-1.1019695836451728,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.2224144355139192
EURJPY_AMR,2026-01-06 00:45:00+00:00,0.5932517612160717,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.4195604541531106
CADJPY_AMR,2026-01-06 01:15:00+00:00,0.5641606850523107,2,2,0,2,2,0,1.0,3,True,SELL,AMR,0.3999282925663294
GBPJPY_AMR,2026-01-07 02:00:00+00:00,0.7105190119346206,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.2156099763605939
EURJPY_AMR,2026-01-07 02:00:00+00:00,0.5454275974507407,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.2382046344864218
AUDJPY_AMR,2026-01-07 02:30:00+00:00,0.5160793375698749,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.4969926012668334
CADJPY_AMR,2026-01-07 02:30:00+00:00,0.5308831036243127,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.3595596632406448
CADJPY_ARB,2026-01-07 07:00:00+00:00,1.5999999999999686,0,0,0,0,0,0,0.0,0,True,SELL,ARB,0.2283414192034973
EURJPY_AMR,2026-01-08 00:00:00+00:00,0.5214557305812035,1,1,0,1,0,1,1.0,2,True,BUY,AMR,0.1017329526591859
GBPJPY_AMR,2026-01-08 00:15:00+00:00,0.6872559460418868,2,2,1,1,1,1,1.0,3,True,BUY,AMR,0.0968153204600387
AUDJPY_AMR,2026-01-08 03:15:00+00:00,0.5455635491606879,1,1,0,1,0,1,1.0,2,True,SELL,AMR,0.1837174642039708
CADJPY_AMR,2026-01-08 03:30:00+00:00,0.549828178694097,2,2,0,2,1,1,1.0,3,True,SELL,AMR,0.2759939447056011
CADJPY_ARB,2026-01-08 08:00:00+00:00,-1.0689655172414083,0,0,0,0,0,0,0.0,0,True,SELL,ARB,0.1765740790105027
EURJPY_AMR,2026-01-09 03:00:00+00:00,-1.097753491196158,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.2894761304030276
CADJPY_ARB,2026-01-09 07:00:00+00:00,0.4282868525896454,0,0,0,0,0,0,0.0,0,True,BUY,ARB,0.2155461960867942
GBPUSD_MONDAY,2026-01-12 00:00:00+00:00,0.7869025613942443,1,1,1,0,1,0,1.0,2,False,BUY,MONDAY,0.4429508721395423
AUDJPY_AMR,2026-01-12 00:00:00+00:00,0.5349381477765948,1,0,1,0,0,0,1.0,2,True,BUY,AMR,0.1323787725554905
EURJPY_AMR,2026-01-12 00:15:00+00:00,-1.1101951085463877,2,1,2,0,1,0,0.5,4,True,SELL,AMR,0.2608857313591395
CADJPY_AMR,2026-01-12 01:00:00+00:00,0.53279379531277,2,1,1,1,1,0,0.5,4,True,SELL,AMR,0.384444798555228
AUDJPY_AMR,2026-01-13 00:00:00+00:00,0.5386565272496288,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.1177276840368339
CADJPY_AMR,2026-01-13 00:00:00+00:00,0.5125262956588607,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.2815446312378827
EURJPY_AMR,2026-01-13 00:00:00+00:00,0.5507745266781786,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.1587942367704667
GBPJPY_AMR,2026-01-13 03:15:00+00:00,-1.0366350067842278,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.4802252383861457
AUDJPY_AMR,2026-01-14 00:45:00+00:00,-1.156342182891054,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.2510512588492042
CADJPY_AMR,2026-01-14 03:00:00+00:00,0.5514004986068003,3,3,0,3,3,0,1.0,4,True,SELL,AMR,0.4261413433192574
GBPJPY_AMR,2026-01-14 03:00:00+00:00,0.7348295926849525,3,3,0,3,3,0,1.0,4,True,SELL,AMR,0.3169141278652819
EURJPY_AMR,2026-01-14 03:00:00+00:00,0.5870764381402063,3,3,0,3,3,0,1.0,4,True,SELL,AMR,0.3678905783148529
CADJPY_AMR,2026-01-15 00:30:00+00:00,0.5795248748268637,0,0,0,0,0,0,0.0,0,True,BUY,AMR,0.5752264095822378
AUDJPY_AMR,2026-01-16 00:00:00+00:00,0.5128205128204739,0,0,0,0,0,0,0.0,0,True,BUY,AMR,0.1419465587906531
EURJPY_AMR,2026-01-16 01:15:00+00:00,0.4941539819104824,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.2239293539605603
CADJPY_AMR,2026-01-16 01:15:00+00:00,0.5021971123667776,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.2615860621995591
EURJPY_AMR,2026-01-19 00:00:00+00:00,0.6403162055335606,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.5751676515503619
GBPJPY_AMR,2026-01-19 00:00:00+00:00,0.782470903229325,4,3,4,0,3,0,0.75,6,True,BUY,AMR,0.684467050917687
GBPUSD_MONDAY,2026-01-19 00:00:00+00:00,0.7867591511572019,4,4,4,0,4,0,1.0,5,False,BUY,MONDAY,0.3912092601482904
CADJPY_AMR,2026-01-19 00:00:00+00:00,0.5785667324128697,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.3779512920617215
AUDJPY_AMR,2026-01-19 00:00:00+00:00,0.626922513549159,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.4801192313834034
CADJPY_ARB,2026-01-19 07:00:00+00:00,1.8520547945205736,2,1,2,0,1,0,1.0,3,True,BUY,ARB,0.3390734125926321
CADJPY_AMR,2026-01-20 00:00:00+00:00,0.435422182994962,2,2,2,0,1,1,1.0,3,True,BUY,AMR,0.1304544126630016
AUDJPY_AMR,2026-01-20 00:00:00+00:00,0.5221548078691952,2,2,2,0,1,1,1.0,2,True,BUY,AMR,0.0785516580614254
EURJPY_AMR,2026-01-20 01:15:00+00:00,0.4590505998955406,1,1,1,0,0,1,1.0,2,True,SELL,AMR,0.1302436757187437
GBPJPY_AMR,2026-01-20 02:45:00+00:00,0.748045316738438,1,1,1,0,0,1,1.0,2,True,BUY,AMR,0.4021620760179553
CADJPY_ARB,2026-01-20 08:00:00+00:00,1.2661870503597183,0,0,0,0,0,0,0.0,0,True,BUY,ARB,0.3521352028575998
AUDJPY_AMR,2026-01-21 00:00:00+00:00,0.5372645372645606,1,1,1,0,0,1,1.0,2,True,BUY,AMR,0.3565763559908447
EURJPY_AMR,2026-01-21 02:00:00+00:00,0.5422647527910603,1,1,1,0,0,1,1.0,2,True,SELL,AMR,0.3350507934400106
EURJPY_AMR,2026-01-22 00:00:00+00:00,0.5766479586222731,1,1,1,0,0,1,1.0,2,True,BUY,AMR,0.4583759378527322
AUDJPY_AMR,2026-01-22 02:30:00+00:00,-1.0342859651433003,1,1,1,0,0,1,1.0,2,True,SELL,AMR,0.8232022142971204
CADJPY_AMR,2026-01-22 03:45:00+00:00,-1.1382113821136794,2,2,1,1,1,1,1.0,3,True,SELL,AMR,0.5241946192866438
CADJPY_AMR,2026-01-23 01:45:00+00:00,-1.1451942740287346,1,1,1,0,0,1,1.0,2,True,SELL,AMR,0.3456431094467904
AUDJPY_AMR,2026-01-23 02:00:00+00:00,-1.124049060704894,2,2,1,1,1,1,1.0,2,True,SELL,AMR,0.1784345558098685
EURJPY_AMR,2026-01-23 03:15:00+00:00,0.5818942961799581,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.4425071376402629
CADJPY_ARB,2026-01-23 08:00:00+00:00,-1.0480769230769311,1,1,0,1,1,0,1.0,2,True,BUY,ARB,0.3577864264008104
CADJPY_AMR,2026-01-26 00:00:00+00:00,-1.020954781786633,1,0,1,0,0,0,1.0,2,True,BUY,AMR,0.9786338405970308
GBPUSD_MONDAY,2026-01-26 00:00:00+00:00,0.1103659704924314,1,1,1,0,1,0,1.0,2,False,BUY,MONDAY,0.9051048167706832
AUDJPY_AMR,2026-01-26 00:30:00+00:00,0.6413826212193868,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.9679964869324532
GBPJPY_AMR,2026-01-26 00:30:00+00:00,0.7878670937367548,4,3,4,0,3,0,0.75,6,True,BUY,AMR,0.9821774814736116
EURJPY_AMR,2026-01-26 00:30:00+00:00,0.6495551866513509,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.9800544452559592
CADJPY_AMR,2026-01-27 01:45:00+00:00,0.5854873871068179,3,3,2,1,3,0,1.0,4,True,SELL,AMR,0.7241388468382334
EURJPY_AMR,2026-01-27 01:45:00+00:00,0.6029826682789211,3,3,2,1,3,0,1.0,4,True,SELL,AMR,0.6673129274284576
CADJPY_AMR,2026-01-28 03:15:00+00:00,-1.0640870616687574,2,2,2,0,2,0,1.0,3,True,SELL,AMR,0.9418240246461104
EURJPY_AMR,2026-01-28 05:15:00+00:00,-1.0938040844582433,3,3,2,1,3,0,1.0,4,True,BUY,AMR,0.8783082132660514
CADJPY_AMR,2026-01-29 02:15:00+00:00,0.5564738292011244,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.8864366717127453
AUDJPY_AMR,2026-01-29 03:30:00+00:00,0.6124948958758291,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.9344626603502422
CADJPY_AMR,2026-01-30 02:00:00+00:00,-1.1144449207028904,1,1,1,0,1,0,1.0,2,True,SELL,AMR,0.8615913738613125
AUDJPY_AMR,2026-01-30 03:30:00+00:00,-1.0889687465969196,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.947809655612924
EURJPY_AMR,2026-01-30 05:45:00+00:00,-1.05392156862746,1,1,1,0,1,0,1.0,2,True,SELL,AMR,0.8941371754863555
GBPUSD_MONDAY,2026-02-02 00:00:00+00:00,-0.303089010870735,0,0,0,0,0,0,0.0,0,False,BUY,MONDAY,0.9557262495332588
CADJPY_AMR,2026-02-02 00:15:00+00:00,0.6203656534782411,3,2,1,2,2,0,0.667,4,True,SELL,AMR,0.9113616444904789
EURJPY_AMR,2026-02-02 00:15:00+00:00,0.645283529570993,3,2,1,2,2,0,0.667,4,True,SELL,AMR,0.8827567890578315
GBPJPY_AMR,2026-02-02 00:15:00+00:00,0.779086010776309,3,2,1,2,2,0,0.667,5,True,SELL,AMR,0.8812451857951075
