trade_id,account,status,strategy,audit_strategy_family,symbol,direction,entry_time,entry_price,exit_time,exit_price,profit,R,raw_exit_reason,exit_reason,london_exit_classification,expected_exit_utc,expected_exit_method,deviation_minutes,event_classification,classification_note,audit_period
583676662,5ERS-<login>,CLOSED,GBPJPY_AMR,AMR,GBPJPY,BUY,2026-08-03T00:45:05+00:00,0.0,2026-08-03T07:00:06+00:00,210.741,6.27,0.52,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
583623638,5ERS-<login>,CLOSED,GBPUSD_MON,UNKNOWN,GBPUSD,BUY,2026-08-02T22:00:16+00:00,0.0,2026-08-03T21:00:05+00:00,1.34191,-7.76,-0.64,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPUSD_MON"" not one of the 6 eligible live strategies",BASELINE
584202064,5ERS-<login>,OPEN,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-08-03T22:15:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
584202065,5ERS-<login>,OPEN,CADJPY_AMR,AMR,CADJPY,SELL,2026-08-03T22:15:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
584202064,5ERS-<login>,CLOSED,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-08-03T22:15:05+00:00,0.0,2026-08-04T04:57:39+00:00,110.531,-5.08,-0.42,SL,SL,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-122.3,H. POSITION_ALREADY_CLOSED,position hit SL 122 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
584202065,5ERS-<login>,CLOSED,CADJPY_AMR,AMR,CADJPY,SELL,2026-08-03T22:15:05+00:00,0.0,2026-08-04T07:00:07+00:00,112.255,-2.68,-0.22,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
585486268,5ERS-<login>,OPEN,AUDJPY_AMR,AMR,AUDJPY,BUY,2026-08-05T22:00:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-08-06T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
585486268,5ERS-<login>,CLOSED,AUDJPY_AMR,AMR,AUDJPY,BUY,2026-08-05T22:00:05+00:00,0.0,2026-08-06T07:00:05+00:00,111.153,-4.12,-0.34,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-08-06T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
586121074,5ERS-<login>,OPEN,EURJPY_AMR,AMR,EURJPY,SELL,2026-08-06T22:15:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-08-07T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
586121074,5ERS-<login>,CLOSED,EURJPY_AMR,AMR,EURJPY,SELL,2026-08-06T22:15:05+00:00,0.0,2026-08-07T02:16:31+00:00,182.525,4.02,0.33,TP,TP,LONDON_EXIT_EXPECTED,2026-08-07T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-283.5,H. POSITION_ALREADY_CLOSED,position hit TP 283 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
